WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/1/2015 9:10,9.2,89,18,1.7,1008.1,1011.5,1011.7,0,40.3,0,816,29.4,29.9,28.9,26.2,8,23.48
1/1/2015 9:20,9.2,119,22,0.1,1008,1011.4,1011.6,0,38.9,0,843,29.4,29.8,28.9,26.2,6,24.1
1/1/2015 9:30,9,171,31,0.1,1007.9,1011.3,1011.5,0,36.8,0,853,29.4,29.8,28.9,26.2,8,24.76
1/1/2015 9:40,8.8,130,22,0.1,1007.8,1011.2,1011.4,0,36.8,0,912,29.3,29.8,29,26.2,6,24.58
1/1/2015 9:50,8.8,122,29,0.2,1007.7,1011.1,1011.3,0,34.5,0,927,29.3,29.7,28.9,26.2,7,25.63
1/1/2015 10:00,8.6,152,33,0.1,1007.5,1010.9,1011.1,0,34,0,966,29.3,29.7,28.9,26.2,8,25.73
1/1/2015 10:10,7.3,138,47,0.2,1007.5,1010.9,1011.1,0,32,0,966,29.3,29.7,28.9,26.2,7,25.25
1/1/2015 10:20,8.7,352,87,0.1,1007.3,1010.7,1010.9,0,34,0,1002,29.3,29.6,28.9,26.2,5,25.74
1/1/2015 10:30,7.9,141,74,0.2,1007.2,1010.6,1010.8,0,31.5,0,1000,29.4,29.6,28.9,26.2,6,26.12
1/1/2015 10:40,8,144,51,0.2,1007.1,1010.5,1010.7,0,29.7,0,1026,29.4,29.6,28.9,26.2,6,27.31
1/1/2015 10:50,8.1,190,37,0.1,1007,1010.4,1010.6,0,29.1,0,1035,29.4,29.6,28.9,26.2,6,27.71
1/1/2015 11:00,9.3,210,37,0.2,1006.9,1010.3,1010.5,0,32.5,0,1057,29.5,29.5,28.9,26.2,10,27.19
1/1/2015 11:10,10.2,234,31,0.2,1006.9,1010.3,1010.5,0,36.4,0,1060,29.5,29.5,28.9,26.2,11,26.32
1/1/2015 11:20,9.9,250,32,0.1,1006.9,1010.3,1010.5,0,33.8,0,1060,29.6,29.5,28.9,26.2,13,27.23
1/1/2015 11:30,11.3,235,30,0.2,1006.8,1010.2,1010.4,0,36.2,0,1072,29.7,29.5,28.9,26.2,12,27.68
1/1/2015 11:40,10.8,241,27,0.2,1006.6,1010,1010.2,0,36.2,0,1080,29.7,29.4,28.9,26.2,12,27.06
1/1/2015 11:50,10.7,242,29,0.2,1006.4,1009.8,1010,0,35.4,0,1103,29.8,29.4,28.9,26.2,12,27.33
1/1/2015 12:00,9.9,247,21,0.2,1006.2,1009.6,1009.8,0,32.7,0,1101,29.9,29.4,28.9,26.2,11,27.85
1/1/2015 12:10,9.4,245,25,0.1,1006.2,1009.6,1009.8,0,32.4,0,1084,30.1,29.4,28.9,26.2,11,27.41
1/1/2015 12:20,10.9,244,28,0.2,1006.2,1009.6,1009.8,0,34.3,0,1085,30.2,29.3,28.9,26.2,16,28.21
1/1/2015 12:30,11.2,246,26,0.2,1006.2,1009.6,1009.8,0,36.8,0,1088,30.3,29.3,28.9,26.3,15,27.3
1/1/2015 12:40,11.2,253,30,0.2,1006.2,1009.6,1009.8,0,37.2,0,1074,30.4,29.3,28.9,26.2,19,27.14
1/1/2015 12:50,11.8,229,34,0.1,1006.1,1009.5,1009.7,0,41.3,0,1077,30.6,29.3,28.8,26.2,16,25.96
1/1/2015 13:00,11.7,236,34,0.2,1006.1,1009.5,1009.7,0,42.1,0,1075,30.7,29.3,28.8,26.3,16,25.59
1/1/2015 13:10,12,223,33,0.2,1006.1,1009.5,1009.7,0,45.5,0,1077,30.8,29.3,28.8,26.2,11,24.57
1/1/2015 13:20,11.5,234,34,0.2,1006,1009.4,1009.6,0,42.2,0,1046,31,29.3,28.8,26.3,16,25.32
1/1/2015 13:30,12.2,237,36,0.1,1005.9,1009.3,1009.5,0,46,0,1041,31.2,29.3,28.8,26.2,17,24.64
1/1/2015 13:40,11.3,227,37,0.2,1005.9,1009.3,1009.5,0,43,0,1026,31.3,29.3,28.8,26.2,17,24.75
1/1/2015 13:50,10.6,219,39,0.2,1005.9,1009.3,1009.5,0,41.4,0,1004,31.4,29.2,28.8,26.3,16,24.63
1/1/2015 14:00,10.7,215,37,0.1,1005.8,1009.2,1009.4,0,41.4,0,995,31.6,29.3,28.8,26.2,12,24.79
1/1/2015 14:10,10.8,238,84,0.2,1005.8,1009.2,1009.4,0,42.8,0,979,31.8,29.2,28.8,26.2,16,24.29
1/1/2015 14:20,11.3,227,35,0.1,1005.8,1009.2,1009.4,0,43.8,0,953,31.9,29.3,28.8,26.3,19,24.5
1/1/2015 14:30,11.6,219,37,0.2,1005.8,1009.2,1009.4,0,45.5,0,941,32.1,29.2,28.8,26.2,15,24.09
1/1/2015 14:40,12.6,222,36,0.1,1005.7,1009.1,1009.3,0,47.2,0,917,32.3,29.3,28.8,26.3,16,24.6
1/1/2015 14:50,12.6,231,35,0.2,1005.6,1009,1009.2,0,48.7,0,902,32.4,29.3,28.8,26.2,16,24.13
1/1/2015 15:00,12.3,223,37,0.1,1005.5,1008.9,1009.1,0,48.3,0,864,32.6,29.3,28.8,26.2,14,23.97
1/1/2015 15:10,13.8,221,35,0.1,1005.3,1008.7,1008.9,0,50.6,0,835,32.7,29.3,28.8,26.3,15,24.84
1/1/2015 15:20,13.9,217,32,0.1,1005.2,1008.6,1008.8,0,52.8,0,810,32.9,29.3,28.8,26.3,13,24.24
1/1/2015 15:30,14,359,77,0.2,1005.2,1008.6,1008.8,0,53.9,0,770,33,29.3,28.7,26.3,15,23.98
1/1/2015 15:40,13.1,224,36,0.1,1005.1,1008.5,1008.7,0,52.6,0,753,33.2,29.3,28.7,26.2,19,23.43
1/1/2015 15:50,13.7,221,33,0.1,1005,1008.4,1008.6,0,54.3,0,707,33.3,29.4,28.7,26.3,12,23.5
1/1/2015 16:00,13,229,33,0.1,1005,1008.4,1008.6,0,52,0,686,33.5,29.4,28.7,26.3,18,23.49
1/1/2015 16:10,13.2,227,40,0.1,1004.9,1008.3,1008.5,0,53.8,0,656,33.6,29.4,28.7,26.3,18,23.07
1/1/2015 16:20,13.5,227,37,0.1,1004.9,1008.3,1008.5,0,55.9,0,622,33.7,29.4,28.7,26.2,18,22.8
1/1/2015 16:30,14.2,220,38,0.1,1004.8,1008.2,1008.4,0,58.8,0,589,33.9,29.5,28.7,26.3,19,22.71
1/1/2015 16:40,14.5,222,32,0.1,1004.8,1008.2,1008.4,0,59.3,0,541,34,29.5,28.7,26.3,12,22.91
